iso3,year,deaths,gdp_pc,vehicles_pc,pop_total,death_rate,log_pop
LVA,2002,0,7443.22938820575,NA,2310173,0,14.65283297146862
LVA,2003,0,8149.00194474603,NA,2287955,0,14.643168963456244
LVA,2004,0,8957.23390372866,NA,2263122,0,14.632255833900501
LVA,2005,0,10106.2624634001,NA,2238799,0,14.621450119331383
LVA,2006,0,11507.4646780972,NA,2218357,0,14.612277389756501
LVA,2007,0,12810.0407808465,NA,2200325,0,14.604115634690672
LVA,2008,0,12506.694495072,NA,2177322,0,14.59360623924693
LVA,2009,0,10675.4252448647,NA,2141669,0,14.577095989571017
LVA,2010,0,10500.8666389182,NA,2097555,0,14.556282938672206
LVA,2011,0,11018.5153747356,NA,2059709,0,14.538075268651406
LVA,2012,0,11971.0108776675,NA,2034319,0,14.52567167711848
LVA,2013,0,12353.5388527084,NA,2012647,0,14.51496132908557
LVA,2014,0,12731.6774205863,NA,1993782,0,14.505543895543228
LVA,2015,0,13321.9753140616,NA,1977527,0,14.49735763213377
LVA,2016,0,13787.3367216588,NA,1959537,0,14.488218778811504
LVA,2017,0,14382.8613400359,NA,1942248,0,14.47935662307858
LVA,2018,0,15120.0696016293,NA,1927174,0,14.471565239116659
LVA,2019,0,15328.3861531528,NA,1913822,0,14.464612847715298
LVA,2020,0,14900.7294732334,NA,1900449,0,14.457600732007965
LVA,2021,0,16070.8728743971,NA,1884490,0,14.449167785227914
MDA,1981,1,NA,NA,2735987,0.0365498812677107,14.822002806251302
MDA,1982,0,NA,NA,2763101,0,14.831864157707235
MDA,1985,0,NA,NA,2850787,0,14.863105654475982
MDA,1986,0,NA,NA,2883057,0,14.874361747496895
MDA,1987,0,NA,NA,2916306,0,14.885828304876656
MDA,1988,1,NA,NA,2948891,0.0339110533417478,14.896939725432388
MDA,1989,0,NA,NA,2970039,0,14.904085642005798
MDA,1990,2,3740.10149814887,NA,2977912,0.06716115184061852,14.906732941755902
MDA,1991,0,3137.8350172715,NA,2981566,0,14.907959223808758
MDA,1992,0,2225.17356234959,NA,2980965,0,14.907757631564781
MDA,1993,0,2202.16445303219,NA,2975966,0,14.906079250138674
MDA,1994,0,1526.42524496526,NA,2966745,0,14.902975950180048
MDA,1995,0,1511.95831765054,NA,2953200,0,14.898399886167148
MDA,1996,0,1425.9518091471,NA,2947293,0,14.896397679919858
MDA,1997,0,1454.80861555923,NA,2936413,0,14.89269932639872
MDA,1998,0,1360.18161095544,NA,2935227,0,14.892295350672644
MDA,1999,0,1316.43254916007,NA,2930622,0,14.890725245153039
MDA,2000,0,1346.9156717656101,NA,2924668,0,14.888691527932492
MDA,2001,0,1432.2768928234,NA,2918135,0,14.886455271559466
MDA,2002,0,1547.57421231612,NA,2911385,0,14.884139470938953
MDA,2003,0,1654.36629303195,NA,2903198,0,14.881323445985748
MDA,2004,0,1781.19145323724,NA,2896023,0,14.878848974445157
MDA,2005,0,1919.44550763748,NA,2888985,0,14.876415787326897
MDA,2006,0,2017.17730062908,NA,2880967,0,14.873636559644938
MDA,2007,0,2082.51260097669,NA,2874299,0,14.871319376396219
MDA,2008,0,2249.22589719372,NA,2868833,0,14.86941588483433
MDA,2009,0,2116.94357544097,NA,2865213,0,14.868153250917223
MDA,2010,0,2269.51116145996,NA,2862354,0,14.867154921177052
MDA,2011,0,2402.94446306051,NA,2860699,0,14.866576558528259
MDA,2012,0,2389.08666147529,NA,2860324,0,14.866445463092868
MDA,2013,0,2605.85029986142,NA,2859558,0,14.86617762539811
MDA,2014,0,2737.80185056647,NA,2857815,0,14.86556790479601
MDA,2015,0,2749.55137054338,NA,2835978,0,14.857897409199271
MDA,2016,0,2910.95486872376,NA,2803186,0,14.846267185419501
MDA,2017,0,3085.33305844263,NA,2755189,0,14.82899660075694
MDA,2018,0,3267.9961042872,NA,2707203,0,14.811426556549456
MDV,2000,0,7049.37475025832,NA,282019,0,12.549729723537123
MDV,2001,0,6659.25959328415,NA,286767,0,12.56642531832587
MDV,2002,0,7024.50162334981,NA,291616,0,12.583193147295853
MDV,2003,0,7858.99379450401,NA,296491,0,12.599772142827687
MDV,2004,0,8180.30181956038,NA,301413,0,12.616236696294804
MDV,2005,0,7143.33627610066,NA,306429,0,12.632741359889362
MDV,2007,0,8932.38983152591,NA,324479,0,12.689976098086108
MDV,2008,0,9395.96484110418,NA,336170,0,12.725372263375544
MDV,2010,0,8590.16212928659,NA,360792,0,12.79605689397578
MDV,2011,0,9005.04761398753,NA,373674,0,12.831139038528136
MDV,2012,0,8904.68161856579,NA,386818,0,12.865709577155878
MDV,2013,0,9209.23725155412,NA,400070,0,12.899394810779405
MDV,2014,0,9602.5027218867,NA,413617,0,12.932695703846179
MDV,2015,0,9644.90655028145,NA,428154,0,12.967238222930842
MDV,2016,0,9927.42327472035,NA,443308,0,13.002020067039968
MDV,2017,0,10280.3915425959,NA,458287,0,13.035250904395578
MDV,2018,0,10821.7341975778,NA,473099,0,13.067059947898976
MDV,2019,0,11263.1928054734,NA,487731,0,13.097519303344248
MEX,1960,11,4145.79302184391,NA,36724615,0.02995266253982513,17.418957796647277
MEX,1961,11,4219.18150869443,NA,37890118,0.02903131629202105,17.450200897268108
MEX,1962,10,4276.14326508853,NA,39129200,0.02555636200075647,17.482379549305993
MEX,1963,20,4474.72750864397,NA,40424065,0.049475479519439716,17.514935833908257
